nombre,ingredientes,tiempo_estimado,tipo
quesadilla de pollo,"queso, tortilla, pollo",10 minutos,Desayuno
quesadilla de panza,"queso, tortilla, panza",10 minutos,Desayuno
quesadilla de huevo,"queso, tortilla, huevo",10 minutos,Desayuno
quesadilla de sesos,"queso, tortilla, sesos",10 minutos,Desayuno
quesadilla de sesos,"queso, tortilla, sesos",10 minutos,Desayuno
quesadilla de chicharrón,"queso, tortilla, chicharrón",10 minutos,Desayuno
quesadilla de flor de calabaza,"queso, tortilla, flor de calabaza",10 minutos,Desayuno
quesadilla de huitlacoche,"queso, tortilla, huitlacoche",10 minutos,Desayuno
quesadilla de requesón,"queso, tortilla, requesón",10 minutos,Desayuno
quesadilla de champiñón,"queso, tortilla, champiñón",10 minutos,Desayuno
quesadilla de espinaca,"queso, tortilla, espinaca",10 minutos,Desayuno
torta de jamón,"pan, jamón, queso, lechuga, jitomate",7 minutos,Desayuno
torta de pollo,"pan, pollo, queso, lechuga, jitomate",7 minutos,Desayuno
torta de huevo,"pan, huevo, queso, lechuga, jitomate",7 minutos,Desayuno
torta de chicharrón,"pan, chicharrón, queso, lechuga, jitomate",7 minutos,Desayuno
torta de salchicha,"pan, salchicha, queso, lechuga, jitomate",7 minutos,Desayuno
torta de jamón con huevo,"pan, jamón, huevo, queso, lechuga, jitomate",10 minutos,Desayuno
omelette de verduras,"huevo, jitomate, cebolla, espinaca, queso",15 minutos,Desayuno
avena con plátano,"avena, leche, plátano, canela",8 minutos,Desayuno
molletes sencillos,"bolillo, frijoles, queso, pico de gallo",15 minutos,Desayuno
hot cakes,"harina, huevo, leche, azúcar, mantequilla",20 minutos,Desayuno
sandwich de jamón,"pan, jamón, queso, lechuga, jitomate",7 minutos,Desayuno
chilaquiles verdes,"totopos, salsa verde, crema, queso, pollo",20 minutos,Desayuno
tostadas de aguacate,"pan, aguacate, huevo, sal, limón",10 minutos,Desayuno
yogur con fruta,"yogur, fresa, plátano, granola, miel",5 minutos,Desayuno
tacos de frijol,"tortilla, frijoles, queso, salsa",10 minutos,Desayuno
pollo con arroz,"pollo, arroz, zanahoria, chícharo, ajo",35 minutos,Comida
pasta con atún,"pasta, atún, mayonesa, elote, crema",20 minutos,Comida
sopa de verduras,"zanahoria, papa, calabaza, jitomate, cebolla",30 minutos,Comida
tacos de pollo,"tortilla, pollo, cebolla, cilantro, salsa",20 minutos,Comida
ensalada de atún,"atún, lechuga, jitomate, pepino, limón",12 minutos,Comida
arroz frito con huevo,"arroz, huevo, zanahoria, cebolla, salsa de soya",18 minutos,Comida
